species,run,mc,lorenz_nrmse
celegans,0,2.6849966686376923,0.05695172057297072
celegans,1,2.842855645475128,0.053140258352521286
celegans,2,2.5639594347623382,0.057681812742782224
celegans,3,3.106315828133595,0.050800612357302925
celegans,4,3.021223014243016,0.05721137138066241
fly,0,2.7806248633645434,0.055160517405378126
fly,1,2.9874941961006334,0.04389817075491481
fly,2,2.6822147078881247,0.05021418637860039
fly,3,3.2362857033178467,0.04422665922042111
fly,4,3.1571202307414357,0.04529428970210315
mouse,0,3.1401341489341643,0.05324099472010736
mouse,1,3.1823135602570893,0.04620471576873671
mouse,2,2.9656968925032,0.05082494145852152
mouse,3,3.3750217192858543,0.04475142233370942
mouse,4,3.2559806043169184,0.0504308956499906
rat,0,3.577224334857433,0.03880960667672747
rat,1,3.7472025353356053,0.029654412665491386
rat,2,3.428791849350421,0.03480991253544875
rat,3,3.978925841423231,0.030263751771320308
rat,4,3.9116163094987884,0.030784677728083926
macaque_w,0,7.198534848797349,0.023438501175858297
macaque_w,1,7.204732173340217,0.019231502477026922
macaque_w,2,6.857386033343763,0.02261480733802328
macaque_w,3,7.274281573571642,0.020253767355964028
macaque_w,4,7.392569686503159,0.015920942424091134
human,0,3.611851420328925,0.0486994965165282
human,1,3.6715281409576535,0.03998197544373088
human,2,3.376028232371713,0.04550209449963609
human,3,3.8945069536160966,0.039451961156056835
human,4,3.759377743555797,0.03810008598158562
