species,run,n_nodes,n_edges,is_binary,mc_bio,lorenz_bio,narma10_bio,mackey_glass_bio,mc_random,lorenz_random,narma10_random,mackey_glass_random,mc_pso_b,mc_pso_a,lorenz_pso_a,narma10_pso_a,mackey_glass_pso_a,mc_de_a,lorenz_de_a,narma10_de_a,mackey_glass_de_a,mc_gwo_a,lorenz_gwo_a,narma10_gwo_a,mackey_glass_gwo_a,mc_woa_a,lorenz_woa_a,narma10_woa_a,mackey_glass_woa_a
celegans,0,279,2194,False,1.1617981333996623,0.44797136054135134,0.8727394404802313,0.2597274079308492,1.7072582769234153,0.39182279317679086,0.7406047670696632,0.2003428650063447,2.010849519726786,7.200653298247862,0.28373975028936504,0.7336997869262706,0.04957087684997165,10.92156128476313,0.2554628042462579,0.7234642871376095,0.04655981503313227,14.207395748589436,0.18206975135406428,0.7148069952756304,0.031103289474923357,25.28827571234572,0.11549983398629438,0.4777355472279169,0.05307161249377969
celegans,1,279,2194,False,1.2960742130683607,0.43889104453102645,0.8231526122015803,0.29216290870064765,2.032692490337645,0.3584418607230569,0.7034424342207756,0.19387908568953313,2.3325658078220175,7.846379163301525,0.2137927770950422,0.6830696841331755,0.10024078301465295,8.76174076853219,0.16511599640855565,0.6226746373844761,0.041777747607200114,11.313419738764223,0.15058559479699332,0.654082081128402,0.07691902689015374,25.84506884875771,0.1181304745231633,0.37524539742644186,0.08998589567097492
celegans,2,279,2194,False,1.6651717756017161,0.42891682552734134,0.8316798590660207,0.25688960795634475,2.346193661545946,0.319967406581283,0.6715440901519064,0.15739546619575273,2.531989597401863,6.098271638885304,0.2158142698745839,0.6009976399375625,0.044150543931468174,7.388030594108656,0.18728436214997374,0.621395415185486,0.04771861043507093,13.853748347810475,0.14400813357034925,0.6370929257769299,0.03181704722121269,18.126886137774818,0.06734186232533779,0.36996615874487787,0.028618916906250652
celegans,3,279,2194,False,1.567305466949706,0.4107995544677596,0.820564244983927,0.24167271758199524,2.5180921688999933,0.31320949190082836,0.6420147863700415,0.15936724093862473,2.760231231275861,7.22908204382754,0.21325986181495546,0.6254098576456351,0.04025581744091928,9.291288450946796,0.1874465737083172,0.601206014155018,0.03647771349941838,12.858663327363887,0.12040535142615606,0.6010497205787534,0.038944236120297716,25.51672062603675,0.08251407198990034,0.3525452501994473,0.07565102311995703
celegans,4,279,2194,False,1.3622887237339956,0.41906845359993783,0.8384684031758156,0.2553447974141685,1.9960975113103696,0.3133689231155991,0.6853623182234314,0.18054210810687712,2.2877325186229567,6.482933510448088,0.22166010520903565,0.6499269131515235,0.047155564295727224,6.785190603246213,0.18780257780859283,0.5815962198640113,0.05233985210063551,13.39143735494389,0.13690588021481415,0.5927050446772364,0.1069881782645567,24.524153291571192,0.2398548109952208,0.38509648455673195,0.044505144610320506
celegans,5,279,2194,False,1.2690227761679358,0.4562960525785273,0.8291420472949558,0.22808127184194318,1.8645477874716525,0.3781172613355814,0.7077552369714751,0.12754066872310552,2.1571938219344204,9.200460569458599,0.23469435610909797,0.6775434029863936,0.05696267818408375,8.070450967840289,0.23241513102659578,0.6156180991016126,0.042848338095390535,10.99005471054229,0.14709222655619464,0.6607887689236216,0.0340705000560574,18.518022656199527,0.12801515029438373,0.3834880116669793,0.03937170452182833
celegans,6,279,2194,False,1.2234143846475183,0.4036500045325755,0.8366862595839775,0.25076191989356794,2.0078182791771457,0.32002316741188397,0.7099378778455139,0.19459497378318996,2.252800593660776,6.2872076086340565,0.23305427014898852,0.6233416613320004,0.04531078188816543,7.351701838047539,0.22940889033529052,0.6745047636458398,0.06095616395073166,13.515304927909597,0.1278811005672259,0.6658667696026906,0.048578654423489666,24.498680846316155,0.12921087321727912,0.42844610300676145,0.038426496028479924
celegans,7,279,2194,False,1.4938169339908127,0.4132770149292071,0.849203835831594,0.24117905453747238,2.223488781584478,0.3244003528054124,0.7077508738045769,0.13670638791673323,2.350059650915949,5.233468693328125,0.17721688197271288,0.6792989097028577,0.04588880541949946,8.372748915595396,0.17756104568312336,0.6071094018151338,0.04815782053085313,17.58242795407378,0.13282822217217283,0.5241846637064828,0.05074378349857149,22.99539792032756,0.08052379074525802,0.45654039374880534,0.025925332139429248
celegans,8,279,2194,False,1.2089926495345866,0.3950528924906494,0.8595387740275645,0.24387900016918815,1.6602411332892408,0.30786603101162346,0.7320131276487531,0.19623220226208615,2.033595334993419,6.898058317214307,0.19255470820727186,0.6584856740304512,0.05189622844914888,6.949645668300135,0.16190397621236938,0.6677175435458984,0.04792103615500714,11.130113674945411,0.10331691299556689,0.4276030172435508,0.03694431458833013,24.53486942650833,0.06750738988853959,0.5976580213133561,0.03040102981053328
celegans,9,279,2194,False,1.6990497389625263,0.4295449347212493,0.8186664961193393,0.2600097598567644,2.8989111302000983,0.3364557534057476,0.6436846937990134,0.17526890499926892,3.1430836516181415,7.059444879139411,0.23443057170794673,0.6414126498959928,0.044664439836953784,6.800001960201914,0.21149362384698758,0.6029905838572381,0.04511838126748256,17.10019684479961,0.11465117854633285,0.6068671512563016,0.09876708249494401,29.206908405858233,0.07636672378527606,0.4935604888517671,0.03595812454379574
fly,0,49,1950,False,1.6052206398843218,0.44273787428808964,0.769988813543918,0.26730020212005035,1.358284057915485,0.5830784921187061,0.7699000845677781,0.3137303413124489,1.475534883092038,2.706071062409252,0.30716785254572915,0.7273640590668892,0.16090448881392527,4.32768242457361,0.27237593607122834,0.7210998991452737,0.1253117024001117,6.2871562439338575,0.22677094104337073,0.6925408245424927,0.061512792214986546,13.448473331795833,0.14244394663249638,0.4982712188349334,0.033836694560604105
fly,1,49,1950,False,1.8399226458235522,0.4364949552059373,0.7251946981052346,0.2112598159619381,1.3876289832271134,0.6476877810661849,0.7396678483108587,0.25850402892694346,1.6130128199704654,2.779758829776798,0.2585185314893468,0.6802746626557097,0.14517855007623579,3.447187925254445,0.24677568036410627,0.6794408352638703,0.09889222107501877,6.4519781683574715,0.23486660298308065,0.6555001676720622,0.05508531428671339,8.832166604288274,0.11238995970440273,0.5612478235036491,0.02855022546052086
fly,2,49,1950,False,2.1161747152937096,0.4160914073885745,0.6898080880472934,0.24613642905275454,1.5958516116243797,0.6757213894192401,0.7159262965137663,0.2937198986489305,1.9197039126350206,3.230601857675689,0.23333799764644134,0.647184070992599,0.16017366811001416,3.462799965095646,0.2261190796904489,0.6395745078003965,0.10084885811947523,6.2247097422268345,0.18258910729278877,0.6220603873512224,0.07185856161662005,10.416351419352772,0.10423263036022154,0.4368492204191432,0.03767414780469473
fly,3,49,1950,False,2.34609844393712,0.40650478977371335,0.654626644556919,0.2569450083114269,1.9389908626453596,0.5942526222990794,0.6639696641834535,0.3143522754549076,2.10252973086105,3.42468342707345,0.2433268226812959,0.6205993672125959,0.1673437387657281,4.210949691004484,0.22737270881239044,0.6042657632187279,0.10353465832985348,6.547150591147482,0.17775846921070682,0.5557627315432273,0.038994971088450944,12.530984106523908,0.09623339721708904,0.5465517778905054,0.028043592781626138
fly,4,49,1950,False,1.8081725535564632,0.40570691983734747,0.6854115673130042,0.23025372431445335,1.408232960757613,0.6135685121296447,0.6999179149831941,0.26934832289994837,1.571881013648285,2.955916657634599,0.23760235583247794,0.6575421937354621,0.16621242086972607,3.1240192146373826,0.20921884173842328,0.6512630098961152,0.10171257420919685,5.772617267814569,0.15889172193150927,0.6466003280288545,0.06295685832785043,9.66723293312561,0.08378975605635319,0.4923437651616619,0.03855316152151428
fly,5,49,1950,False,1.7274373453091456,0.4650525299444349,0.711787937729698,0.24962310055128295,1.329294312277304,0.693910680696072,0.7172893451605266,0.31929538182438016,1.5406020849096218,2.88085737184431,0.2961198840476545,0.6657912421755251,0.17443444976909797,5.09761673441921,0.25974009153268496,0.6647107423197048,0.10538467249422928,6.642821318464798,0.22183693372999347,0.6333689705774924,0.06933669678317668,9.731472425734502,0.13393755714800748,0.5399078320865481,0.039147850683690213
fly,6,49,1950,False,1.7289181320854323,0.4010585967929912,0.7345187223559626,0.2527768164214323,1.3590496909829561,0.5802553283886682,0.7443567285443344,0.31294161471035803,1.580269081656649,2.805896914391768,0.24900032727689214,0.6892356750841515,0.17576638635074468,3.6351629884461465,0.22253621496958662,0.6840324800592364,0.09193062553060162,6.7496953965203685,0.196561890899856,0.6668072528219847,0.0511390196206763,11.018138935268237,0.12460552784497639,0.5815125571102369,0.030208688663054522
